연번,검증인정서번호,기업명,공장명,모델명,검증코드,출력(W),탄소배출량,검증방법,검증인정서발급일,검증인정서만료일
17,2020-017,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 405,Q.PEAK DUO L-G8 KR1 405_685.62kgCO2,405,685.62,표준배출계수,2020-09-16,2023-09-15
18,2020-018,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 405,Q.PEAK DUO L-G8 KR1 405_755.99kgCO2,405,755.99,표준배출계수,2020-09-16,2023-09-15
19,2020-019,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 410,Q.PEAK DUO L-G8 KR1 410_659.06kgCO2,410,659.06,표준배출계수,2023-09-16,2026-09-15
20,2020-020,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 410,Q.PEAK DUO L-G8 KR1 410_677.26kgCO2,410,677.26,표준배출계수,2020-09-16,2023-09-15
21,2020-021,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 410,Q.PEAK DUO L-G8 KR1 410_746.77kgCO2,410,746.77,표준배출계수,2020-09-16,2023-09-15
22,2020-022,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 415,Q.PEAK DUO L-G8 KR1 415_651.12kgCO2,415,651.12,표준배출계수,2023-09-16,2026-09-15
23,2020-023,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 415,Q.PEAK DUO L-G8 KR1 415_669.10kgCO2,415,669.1,표준배출계수,2020-09-16,2023-09-15
24,2020-024,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 415,Q.PEAK DUO L-G8 KR1 415_737.77kgCO2,415,737.77,표준배출계수,2020-09-16,2023-09-15
25,2020-025,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 420,Q.PEAK DUO L-G8 KR1 420_643.37kgCO2,420,643.37,표준배출계수,2023-09-16,2026-09-15
26,2020-026,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 420,Q.PEAK DUO L-G8 KR1 420_661.13kgCO2,420,661.13,표준배출계수,2020-09-16,2023-09-15
27,2020-027,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 420,Q.PEAK DUO L-G8 KR1 420_728.99kgCO2,420,728.99,표준배출계수,2023-09-16,2026-09-15
28,2020-028,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 425,Q.PEAK DUO L-G8 KR1 425_635.80kgCO2,425,635.8,표준배출계수,2023-09-16,2026-09-15
29,2020-029,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 425,Q.PEAK DUO L-G8 KR1 425_653.36kgCO2,425,653.36,표준배출계수,2020-09-16,2023-09-15
30,2020-030,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 425,Q.PEAK DUO L-G8 KR1 425_720.41kgCO2,425,720.41,표준배출계수,2023-09-16,2026-09-15
31,2020-031,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 410,Q.PEAK DUO L-G8 KR2 410_658.74kgCO2,410,658.74,표준배출계수,2020-09-16,2023-09-15
32,2020-032,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 410,Q.PEAK DUO L-G8 KR2 410_676.94kgCO2,410,676.94,표준배출계수,2020-09-16,2023-09-15
33,2020-033,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 410,Q.PEAK DUO L-G8 KR2 410_746.45kgCO2,410,746.45,표준배출계수,2020-09-16,2023-09-15
34,2020-034,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 415,Q.PEAK DUO L-G8 KR2 415_650.80kgCO2,415,650.8,표준배출계수,2020-09-16,2023-09-15
35,2020-035,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 415,Q.PEAK DUO L-G8 KR2 415_668.78kgCO2,415,668.78,표준배출계수,2020-09-16,2023-09-15
36,2020-036,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 415,Q.PEAK DUO L-G8 KR2 415_737.45kgCO2,415,737.45,표준배출계수,2020-09-16,2023-09-15
37,2020-037,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 420,Q.PEAK DUO L-G8 KR2 420_643.05kgCO2,420,643.05,표준배출계수,2020-09-16,2023-09-15
38,2020-038,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 420,Q.PEAK DUO L-G8 KR2 420_660.82kgCO2,420,660.82,표준배출계수,2020-09-16,2023-09-15
39,2020-039,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 420,Q.PEAK DUO L-G8 KR2 420_728.67kgCO2,420,728.67,표준배출계수,2020-09-16,2023-09-15
40,2020-040,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 425,Q.PEAK DUO L-G8 KR2 425_635.49kgCO2,425,635.49,표준배출계수,2020-09-16,2023-09-15
41,2020-041,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 425,Q.PEAK DUO L-G8 KR2 425_653.04kgCO2,425,653.04,표준배출계수,2020-09-16,2023-09-15
42,2020-042,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR2 425,Q.PEAK DUO L-G8 KR2 425_720.10kgCO2,425,720.1,표준배출계수,2020-09-16,2023-09-15
43,2020-043,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G7 385,Q.PEAK DUO L-G7 385_784.72kgCO2,385,784.72,표준배출계수,2020-09-16,2023-09-15
44,2020-044,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G7 390,Q.PEAK DUO L-G7 390_774.66kgCO2,390,774.66,표준배출계수,2020-09-16,2023-09-15
45,2020-045,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G7 395,Q.PEAK DUO L-G7 395_764.86kgCO2,395,764.86,표준배출계수,2020-09-16,2023-09-15
46,2020-046,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G7.4 385,Q.PEAK DUO L-G7.4 385_801.15kgCO2,385,801.15,표준배출계수,2020-09-16,2023-09-15
47,2020-047,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G7.4 390,Q.PEAK DUO L-G7.4 390_790.88kgCO2,390,790.88,표준배출계수,2020-09-16,2023-09-15
48,2020-048,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G7.4 395,Q.PEAK DUO L-G7.4 395_780.87kgCO2,395,780.87,표준배출계수,2020-09-16,2023-09-15
49,2020-049,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G7.4 400,Q.PEAK DUO L-G7.4 400_771.11kgCO2,400,771.11,표준배출계수,2020-09-16,2023-09-15
50,2020-050,한화솔루션(주),음성 제2사업장,Q.PEAK L-G4.4 365,Q.PEAK L-G4.4 365_823.11kgCO2,365,823.11,표준배출계수,2020-09-16,2023-09-15
51,2020-051,한화솔루션(주),음성 제2사업장,Q.PEAK L-G4.4 370,Q.PEAK L-G4.4 370_811.99kgCO2,370,811.99,표준배출계수,2020-09-16,2023-09-15
52,2020-052,한화솔루션(주),음성 제2사업장,Q.PEAK L-G4.4 375,Q.PEAK L-G4.4 375_801.16kgCO2,375,801.16,표준배출계수,2020-09-16,2023-09-15
53,2020-053,한화솔루션(주),음성 제2사업장,Q.PEAK L-G4.4 380,Q.PEAK L-G4.4 380_790.62kgCO2,380,790.62,표준배출계수,2020-09-16,2023-09-15
54,2020-054,한화솔루션(주),음성 제2사업장,Q.PEAK L-G4.4 385,Q.PEAK L-G4.4 385_780.35kgCO2,385,780.35,표준배출계수,2020-09-16,2023-09-15
55,2020-055,한화솔루션(주),음성 제2사업장,Q.PEAK BFR L-G4.4 365,Q.PEAK BFR L-G4.4 365_823.11kgCO2,365,823.11,표준배출계수,2020-09-16,2023-09-15
56,2020-056,한화솔루션(주),음성 제2사업장,Q.PEAK BFR L-G4.4 370,Q.PEAK BFR L-G4.4 370_811.99kgCO2,370,811.99,표준배출계수,2020-09-16,2023-09-15
57,2020-057,한화솔루션(주),음성 제2사업장,Q.PEAK BFR L-G4.4 375,Q.PEAK BFR L-G4.4 375_801.16kgCO2,375,801.16,표준배출계수,2020-09-16,2023-09-15
58,2020-058,한화솔루션(주),음성 제2사업장,Q.PEAK BFR L-G4.4 380,Q.PEAK BFR L-G4.4 380_790.62kgCO2,380,790.62,표준배출계수,2020-09-16,2023-09-15
59,2020-059,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 410,Q.PEAK DUO L-G8.3/BFG 410_660.28kgCO2,410,660.28,표준배출계수,2023-09-16,2026-09-15
60,2020-060,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 410,Q.PEAK DUO L-G8.3/BFG 410_678.48kgCO2,410,678.48,표준배출계수,2020-09-16,2023-09-15
61,2020-061,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 410,Q.PEAK DUO L-G8.3/BFG 410_747.99kgCO2,410,747.99,표준배출계수,2020-09-16,2023-09-15
62,2020-062,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 415,Q.PEAK DUO L-G8.3/BFG 415_652.33kgCO2,415,652.33,표준배출계수,2023-09-16,2026-09-15
63,2020-063,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 415,Q.PEAK DUO L-G8.3/BFG 415_670.30kgCO2,415,670.3,표준배출계수,2020-09-16,2023-09-15
64,2020-064,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 415,Q.PEAK DUO L-G8.3/BFG 415_738.98kgCO2,415,738.98,표준배출계수,2020-09-16,2023-09-15
65,2020-065,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 420,Q.PEAK DUO L-G8.3/BFG 420_644.56kgCO2,420,644.56,표준배출계수,2023-09-16,2026-09-15
66,2020-066,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 420,Q.PEAK DUO L-G8.3/BFG 420_662.32kgCO2,420,662.32,표준배출계수,2020-09-16,2023-09-15
67,2020-067,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 420,Q.PEAK DUO L-G8.3/BFG 420_730.18kgCO2,420,730.18,표준배출계수,2020-09-16,2023-09-15
68,2020-068,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 425,Q.PEAK DUO L-G8.3/BFG 425_636.98kgCO2,425,636.98,표준배출계수,2023-09-16,2026-09-15
69,2020-069,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 425,Q.PEAK DUO L-G8.3/BFG 425_654.53kgCO2,425,654.53,표준배출계수,2020-09-16,2023-09-15
70,2020-070,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8.3/BFG 425,Q.PEAK DUO L-G8.3/BFG 425_721.59kgCO2,425,721.59,표준배출계수,2023-09-16,2026-09-15
71,2020-071,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 405,Q.PEAK DUO L-G6 KR1 405_668.13kgCO2,405,668.13,표준배출계수,2020-09-16,2023-09-15
72,2020-072,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 405,Q.PEAK DUO L-G6 KR1 405_686.55kgCO2,405,686.55,표준배출계수,2020-09-16,2023-09-15
73,2020-073,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 405,Q.PEAK DUO L-G6 KR1 405_756.92kgCO2,405,756.92,표준배출계수,2020-09-16,2023-09-15
74,2020-074,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 410,Q.PEAK DUO L-G6 KR1 410_659.98kgCO2,410,659.98,표준배출계수,2020-09-16,2023-09-15
75,2020-075,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 410,Q.PEAK DUO L-G6 KR1 410_678.18kgCO2,410,678.18,표준배출계수,2020-09-16,2023-09-15
76,2020-076,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 410,Q.PEAK DUO L-G6 KR1 410_747.69kgCO2,410,747.69,표준배출계수,2020-09-16,2023-09-15
77,2020-077,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 415,Q.PEAK DUO L-G6 KR1 415_652.03kgCO2,415,652.03,표준배출계수,2020-09-16,2023-09-15
78,2020-078,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 415,Q.PEAK DUO L-G6 KR1 415_669.96kgCO2,415,669.96,표준배출계수,2020-09-16,2023-09-15
79,2020-079,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 415,Q.PEAK DUO L-G6 KR1 415_738.68kgCO2,415,738.68,표준배출계수,2020-09-16,2023-09-15
80,2020-080,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 420,Q.PEAK DUO L-G6 KR1 420_644.27kgCO2,420,644.27,표준배출계수,2020-09-16,2023-09-15
81,2020-081,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 420,Q.PEAK DUO L-G6 KR1 420_662.03kgCO2,420,662.03,표준배출계수,2020-09-16,2023-09-15
82,2020-082,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 420,Q.PEAK DUO L-G6 KR1 420_729.89kgCO2,420,729.89,표준배출계수,2023-09-16,2026-09-15
83,2020-083,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 425,Q.PEAK DUO L-G6 KR1 425_636.69kgCO2,425,636.69,표준배출계수,2020-09-16,2023-09-15
84,2020-084,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 425,Q.PEAK DUO L-G6 KR1 425_654.24kgCO2,425,654.24,표준배출계수,2020-09-16,2023-09-15
85,2020-085,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR1 425,Q.PEAK DUO L-G6 KR1 425_721.30kgCO2,425,721.3,표준배출계수,2023-09-16,2026-09-15
86,2020-086,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 410,Q.PEAK DUO L-G6 KR2 410_659.89kgCO2,410,659.89,표준배출계수,2023-09-16,2026-09-15
87,2020-087,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 410,Q.PEAK DUO L-G6 KR2 410_678.08kgCO2,410,678.08,표준배출계수,2023-09-16,2026-09-15
88,2020-088,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 410,Q.PEAK DUO L-G6 KR2 410_747.59kgCO2,410,747.59,표준배출계수,2020-09-16,2023-09-15
89,2020-089,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 415,Q.PEAK DUO L-G6 KR2 415_651.94kgCO2,415,651.94,표준배출계수,2023-09-16,2026-09-15
90,2020-090,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 415,Q.PEAK DUO L-G6 KR2 415_669.91kgCO2,415,669.91,표준배출계수,2023-09-16,2026-09-15
91,2020-091,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 415,Q.PEAK DUO L-G6 KR2 415_738.59kgCO2,415,738.59,표준배출계수,2020-09-16,2023-09-15
92,2020-092,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 420,Q.PEAK DUO L-G6 KR2 420_644.17kgCO2,420,644.17,표준배출계수,2023-09-16,2026-09-15
93,2020-093,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 420,Q.PEAK DUO L-G6 KR2 420_661.94kgCO2,420,661.94,표준배출계수,2023-09-16,2026-09-15
94,2020-094,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 420,Q.PEAK DUO L-G6 KR2 420_729.79kgCO2,420,729.79,표준배출계수,2023-09-16,2026-09-15
95,2020-095,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 425,Q.PEAK DUO L-G6 KR2 425_636.60kgCO2,425,636.6,표준배출계수,2023-09-16,2026-09-15
96,2020-096,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 425,Q.PEAK DUO L-G6 KR2 425_654.15kgCO2,425,654.15,표준배출계수,2023-09-16,2026-09-15
97,2020-097,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 425,Q.PEAK DUO L-G6 KR2 425_721.21kgCO2,425,721.21,표준배출계수,2023-09-16,2026-09-15
98,2020-098,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.4 KR1 410,Q.PEAK DUO L-G6.4 KR1 410_764.11kgCO2,410,764.11,표준배출계수,2020-09-16,2023-09-15
99,2020-099,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.4 KR1 415,Q.PEAK DUO L-G6.4 KR1 415_754.90kgCO2,415,754.9,표준배출계수,2020-09-16,2023-09-15
100,2020-100,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.4 KR1 420,Q.PEAK DUO L-G6.4 KR1 420_745.91kgCO2,420,745.91,표준배출계수,2020-09-16,2023-09-15
101,2020-101,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.4 KR1 425,Q.PEAK DUO L-G6.4 KR1 425_737.14kgCO2,425,737.14,표준배출계수,2020-09-16,2023-09-15
102,2020-102,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.4 KR2 410,Q.PEAK DUO L-G6.4 KR2 410_764.01kgCO2,410,764.01,표준배출계수,2020-09-16,2023-09-15
103,2020-103,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.4 KR2 415,Q.PEAK DUO L-G6.4 KR2 415_754.80kgCO2,415,754.8,표준배출계수,2020-09-16,2023-09-15
104,2020-104,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.4 KR2 420,Q.PEAK DUO L-G6.4 KR2 420_745.82kgCO2,420,745.82,표준배출계수,2020-09-16,2023-09-15
105,2020-105,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.4 KR2 425,Q.PEAK DUO L-G6.4 KR2 425_737.04kgCO2,425,737.04,표준배출계수,2020-09-16,2023-09-15
106,2020-106,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.7 410,Q.PEAK DUO L-G6.7 410_764.01kgCO2,410,764.01,표준배출계수,2020-09-16,2023-09-15
107,2020-107,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.7 415,Q.PEAK DUO L-G6.7 415_754.80kgCO2,415,754.8,표준배출계수,2020-09-16,2023-09-15
108,2020-108,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.7 420,Q.PEAK DUO L-G6.7 420_745.82kgCO2,420,745.82,표준배출계수,2020-09-16,2023-09-15
109,2020-109,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.7 425,Q.PEAK DUO L-G6.7 425_737.04kgCO2,425,737.04,표준배출계수,2020-09-16,2023-09-15
110,2020-110,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.2 KR1 405,Q.PEAK DUO L-G6.2 KR1 405_677.58kgCO2,405,677.58,표준배출계수,2020-09-16,2020-12-21
111,2020-111,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.2 KR1 405,Q.PEAK DUO L-G6.2 KR1 405_766.37kgCO2,405,766.37,표준배출계수,2020-09-16,2020-12-21
112,2020-112,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.2 KR1 410,Q.PEAK DUO L-G6.2 KR1 410_669.31kgCO2,410,669.31,표준배출계수,2020-09-16,2020-12-21
113,2020-113,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.2 KR1 410,Q.PEAK DUO L-G6.2 KR1 410_757.02kgCO2,410,757.02,표준배출계수,2020-09-16,2020-12-21
114,2020-114,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.2 KR1 415,Q.PEAK DUO L-G6.2 KR1 415_661.25kgCO2,415,661.25,표준배출계수,2020-09-16,2020-12-21
115,2020-115,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.2 KR1 415,Q.PEAK DUO L-G6.2 KR1 415_747.90kgCO2,415,747.9,표준배출계수,2020-09-16,2020-12-21
116,2020-116,한솔에너지온,한솔에너지온 오창공장,HS435UE-AH3,HS435UE-AH3_769.61kgCO2,435,769.61,표준배출계수,2023-09-16,2026-09-15
117,2020-117,한솔에너지온,한솔에너지온 오창공장,HS430UE-AH3,HS430UE-AH3_778.56kgCO2,430,778.56,표준배출계수,2023-09-16,2026-09-15
118,2020-118,한솔에너지온,한솔에너지온 오창공장,HS425UE-AH3,HS425UE-AH3_787.72kgCO2,425,787.72,표준배출계수,2023-09-16,2026-09-15
119,2020-119,한솔에너지온,한솔에너지온 오창공장,HS390UD-W02,HS390UD-W02_772.88kgCO2,390,772.88,표준배출계수,2023-09-16,2026-09-15
120,2020-120,한솔에너지온,한솔에너지온 오창공장,HS385-W02,HS385-W02_782.92kgCO2,385,782.92,표준배출계수,2023-09-16,2026-09-15
121,2020-121,한솔에너지온,한솔에너지온 오창공장,HS405UD-HH2,HS405UD-HH2_744.19kgCO2,405,744.19,표준배출계수,2023-09-16,2026-09-15
122,2020-122,한솔에너지온,한솔에너지온 오창공장,HS400UD-HH2,HS400UD-HH2_753.49kgCO2,400,753.49,표준배출계수,2023-09-16,2026-09-15
123,2020-123,한솔에너지온,한솔에너지온 오창공장,HS395UD-HH2,HS395UD-HH2_763.03kgCO2,395,763.03,표준배출계수,2023-09-16,2026-09-15
124,2020-124,한솔에너지온,한솔에너지온 오창공장,HS390UD-HH2,HS390UD-HH2_772.81kgCO2,390,772.81,표준배출계수,2023-09-16,2026-09-15
125,2020-125,한솔에너지온,한솔에너지온 오창공장,HS385UD-HH2,HS385UD-HH2_782.85kgCO2,385,782.85,표준배출계수,2023-09-16,2026-09-15
126,2020-126,한솔에너지온,한솔에너지온 오창공장,HS380UD-HH2,HS380UD-HH2_793.15kgCO2,380,793.15,표준배출계수,2023-09-16,2026-09-15
127,2020-127,한솔에너지온,한솔에너지온 오창공장,HS395UD-AH2,HS395UD-AH2_760.58kgCO2,395,760.58,표준배출계수,2023-09-16,2026-09-15
128,2020-128,한솔에너지온,한솔에너지온 오창공장,HS390UD-AH2,HS390UD-AH2_770.33kgCO2,390,770.33,표준배출계수,2023-09-16,2026-09-15
129,2020-129,한솔에너지온,한솔에너지온 오창공장,HS385UD-AH2,HS385UD-AH2_780.34kgCO2,385,780.34,표준배출계수,2023-09-16,2026-09-15
130,2020-130,한솔에너지온,한솔에너지온 오창공장,HS380UD-AH2,HS380UD-AH2_790.60kgCO2,380,790.6,표준배출계수,2023-09-16,2026-09-15
131,2020-131,한솔에너지온,한솔에너지온 오창공장,HS375UD-AH2,HS375UD-AH2_801.15kgCO2,375,801.15,표준배출계수,2023-09-16,2026-09-15
132,2020-132,한솔에너지온,한솔에너지온 오창공장,HS425UE-AH2,HS425UE-AH2_763.86kgCO2,425,763.86,표준배출계수,2023-09-16,2026-09-15
133,2020-133,한솔에너지온,한솔에너지온 오창공장,HS420UE-AH2,HS420UE-AH2_772.96kgCO2,420,772.96,표준배출계수,2023-09-16,2026-09-15
134,2020-134,한솔에너지온,한솔에너지온 오창공장,HS415UE-AH2,HS415UE-AH2_782.27kgCO2,415,782.27,표준배출계수,2023-09-16,2026-09-15
135,2020-135,한솔에너지온,한솔에너지온 오창공장,HS410UE-AH2,HS410UE-AH2_791.81kgCO2,410,791.81,표준배출계수,2023-09-16,2026-09-15
136,2020-136,한솔에너지온,한솔에너지온 오창공장,HS405UE-AH2,HS405UE-AH2_801.58kgCO2,405,801.58,표준배출계수,2023-09-16,2026-09-15
137,2020-137,한솔에너지온,한솔에너지온 오창공장,HS375UD-AN1,HS375UD-AN1_777.94kgCO2,375,777.94,표준배출계수,2023-09-16,2026-09-15
138,2020-138,한솔에너지온,한솔에너지온 오창공장,HS370UD-AN1,HS370UD-AN1_788.45kgCO2,370,788.45,표준배출계수,2023-09-16,2026-09-15
139,2020-139,한솔에너지온,한솔에너지온 오창공장,HS365UD-AN1,HS365UD-AN1_799.26kgCO2,365,799.26,표준배출계수,2023-09-16,2026-09-15
140,2020-140,한솔에너지온,한솔에너지온 오창공장,HS360UD-AN1,HS360UD-AN1_810.36kgCO2,360,810.36,표준배출계수,2023-09-16,2026-09-15
